,id,user_edad,car_marca,car_modelo,car_tipo,car_kilometraje,car_transmision,car_plataforma,deduccion_deduccion_kilometraje,deduccion_tipo_vehiculo,deduccion_mecanica,deduccion_carroceria,deduccion_suspension,deduccion_neumaticos,deduccion_cristales,deduccion_tenencias,deduccion_infracciones,deduccion_propietario,deduccion_extemporanea,deduccion_totalDescuentos,ajuste_monto_solicitado_cliente,ajuste_precio_guia_autometrica,ajuste_valor_avaluo,ajuste_tipo_vehiculo,ajuste_avaluo_km,ajuste_avaluo_ajustado,ajuste_avaluo_tipo_vehiculo,ajuste_multas,ajuste_tramites,ajuste_averia_estetica_mecanica,ajuste_monto_prestar,ajuste_margen_favor
64,158,27.673500028938136,Kia,2017,"Es Kia, Rio, Hatchback básico",99900,manual,si,0.0,42,,,0,,,,,,,0,1,164100,114869,,0,66624,48245,0,0,0,66624,66623
65,159,27.83412184750911,Kia,2017,"Es Kia, Rio, Hatchback básico",99900,manual,si,0.0,42,,,0,,,,,,,0,1,164100,114869,,0,66624,48245,0,0,0,66624,66623
66,160,25.70892973800039,Nissan,2013,NISSAN ARMADA 4X2,120000,automatica,no,0.0,0,,,0,,,,,,,0,1,199700,139790,,0,139790,0,0,0,0,139790,139789
67,161,33.44007013721037,Audi,2013,4p S Line L4/2.0/T Aut,250439,automatica,no,0.0,0,,,0,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0
68,162,25.31447890604464,Audi,2013,4p S Line L4/2.0/T Aut,250439,automatica,no,0.0,0,,,0,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0
69,163,33.73408038208812,Chevrolet,2013,CHEVROLET SONIC STD 1.5 4P,133000,automatica,no,0.0,0,,,0,,,,,,,0,1,102700,71890,,0,71890,0,0,0,0,71890,71889
70,164,28.630451761496136,Chevrolet,2023,Chevrolet Aveo hatchback,17200,manual,no,2.2,0,,,0,,,,,,,0,1,239120,167384,,5260,162124,0,0,0,0,162124,162123
71,165,33.108378055993015,Nissan,2017,NISSAN VERSA SENSE,84000,manual,no,0.0,0,,,0,,,,,,,0,1,148900,104230,,0,104230,0,0,0,0,104230,104229
72,166,31.48931877386842,Kia,2023,kia Rio 5p LX L4/1.6 Man,16000,manual,no,1.0,0,,,0,,,,,,,0,1,259120,181384,,2591,178793,0,0,0,0,178793,178792
73,167,38.0,Toyota,2017,TOYOTA SIENNA LIMITED TA,115000,automatica,no,5.6,0,0.0,0.0,0,0.0,0.0,0.0,16240.0,3500.0,0.0,19740,1,425900,298130,,23850,274280,0,16240,3500,0,254540,254539
74,168,28.295598303071444,Toyota,2017,TOYOTA SIENNA LIMITED,90000,automatica,no,0.0,0,0.0,0.0,0,0.0,0.0,0.0,16240.0,3500.0,0.0,19740,1,425900,298130,,0,298130,0,16240,3500,0,278390,278389
75,169,29.530692812041607,Chevrolet,2018,CHEVROLET BEAT LT,145000,manual,si,21.0,42,,,0,,,,,,,0,1,126800,88760,,26628,24853,37279,0,0,0,24853,24852
76,170,31.430045195394438,Volkswagen,2016,Vento comforline std,179000,manual,si,21.0,42,,,0,,,,,,,0,1,137000,95900,,28770,26852,40278,0,0,0,26852,26851
77,171,56.0,Nissan,2017,NISSAN SENTRA ADVANCE CVT,150033,automatica,no,21.0,0,0.0,0.0,0,0.0,0.0,9342.0,0.0,0.0,0.0,9342,1,189600,132720,,39816,92904,0,9342,0,0,83562,83561
78,172,34.59403539182366,Chevrolet,2016,"CHEVROLET AVEO  LT , Rin 15 vidrios eléctricos 4 puertas .",172000,manual,no,21.0,0,,,0,,,,,,,0,1,111100,77770,,23331,54439,0,0,0,0,54439,54438
79,173,28.941153488882545,Chevrolet,2016,"CHEVROLET AVEO  LT , Rin 15 vidrios eléctricos 4 puertas .",172000,manual,no,21.0,0,,,0,,,,,,,0,1,111100,77770,,23331,54439,0,0,0,0,54439,54438
80,174,73.0,Chrysler,2014,CRYSLER TOWN & COUNTRY LI,100000,automatica,no,0.0,0,,,0,,,,,,,0,1,149800,104860,,0,104860,0,0,0,0,104860,104859
81,175,30.314277068389522,Volkswagen,2017,VOLKSWAGEN 2.0 L 115HP JETTA MK VI 4P 5VEL,30000,manual,no,0.0,0,,,0,,,,,,,0,1,167400,117179,,0,117179,0,0,0,0,117179,117178
82,176,29.601504850935797,BMW,2014,BMW SERIE 3 328 IA LUXURY LINE,125000,automatica,no,0.0,0,,,0,,,,,,,0,1,213700,149590,,0,149590,0,0,0,0,149590,149589
